full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_name,is_weekend,is_holiday
2017-04-04,2017,Q2,4,April,14,4,Tuesday,False,False
2017-04-05,2017,Q2,4,April,14,5,Wednesday,False,False
2017-04-06,2017,Q2,4,April,14,6,Thursday,False,False
2017-04-07,2017,Q2,4,April,14,7,Friday,False,False
2017-04-08,2017,Q2,4,April,14,8,Saturday,True,False
2017-04-09,2017,Q2,4,April,14,9,Sunday,True,False
2017-04-10,2017,Q2,4,April,15,10,Monday,False,False
2017-04-11,2017,Q2,4,April,15,11,Tuesday,False,False
2017-04-12,2017,Q2,4,April,15,12,Wednesday,False,False
2017-04-13,2017,Q2,4,April,15,13,Thursday,False,False
2017-04-14,2017,Q2,4,April,15,14,Friday,False,False
2017-04-15,2017,Q2,4,April,15,15,Saturday,True,False
2017-04-16,2017,Q2,4,April,15,16,Sunday,True,False
2017-04-17,2017,Q2,4,April,16,17,Monday,False,False
2017-04-18,2017,Q2,4,April,16,18,Tuesday,False,False
2017-04-19,2017,Q2,4,April,16,19,Wednesday,False,False
2017-04-20,2017,Q2,4,April,16,20,Thursday,False,False
2017-04-21,2017,Q2,4,April,16,21,Friday,False,False
2017-04-22,2017,Q2,4,April,16,22,Saturday,True,False
2017-04-23,2017,Q2,4,April,16,23,Sunday,True,False
2017-04-24,2017,Q2,4,April,17,24,Monday,False,False
2017-04-25,2017,Q2,4,April,17,25,Tuesday,False,False
2017-04-26,2017,Q2,4,April,17,26,Wednesday,False,False
2017-04-27,2017,Q2,4,April,17,27,Thursday,False,False
2017-04-28,2017,Q2,4,April,17,28,Friday,False,False
2017-04-29,2017,Q2,4,April,17,29,Saturday,True,False
2017-04-30,2017,Q2,4,April,17,30,Sunday,True,False
2017-05-01,2017,Q2,5,May,18,1,Monday,False,False
2017-05-02,2017,Q2,5,May,18,2,Tuesday,False,False
2017-05-03,2017,Q2,5,May,18,3,Wednesday,False,False
2017-05-04,2017,Q2,5,May,18,4,Thursday,False,False
